year,lead
1954.59,135.2447
1954.45,3622.33448
1954.31,2046.5883
1954.03,2614.29187
1953.79,515.40482
1953.67,1675.05839
1953.55,1644.54237
1953.44,362.00008
1953.32,544.4522
1953.20,1090.6822
1953.08,1248.7739
1952.94,957.61382
1952.73,610.77859
1952.52,568.827
1952.31,639.48332
1952.10,1781.15706
1951.91,1263.24535
1951.73,430.53671
1951.55,254.4708
1951.37,399.56848
1951.19,2238.27686
1951.01,1580.75893
1950.91,270.10635
1950.81,382.35385
1950.72,510.54242
1950.63,608.38203
1950.53,531.05476
1950.44,669.09644
1950.25,190.72604
1950.16,654.76509
1950.07,546.29702
1949.96,543.94697
1949.79,1238.36279
1949.63,273.91954
1949.47,279.77714
1949.31,149.20677
1949.15,479.7025
1948.99,899.93075
1948.88,1177.29208
1948.78,163.99407
1948.67,195.68149
1948.57,199.16416
1948.46,151.13887
1948.35,205.56275
1948.25,111.64731
1948.14,662.82016
1948.04,191.40272
1947.89,178.11483
1947.72,202.19238
1947.55,162.51879
1947.37,135.82521
1947.19,295.83501
1947.02,293.26537
1946.82,1524.39385
1946.63,231.72271
1946.44,711.55676
1946.25,560.52582
1946.06,1347.94751
1945.94,6406.7046
1945.86,1214.67731
1945.77,1768.56242
1945.69,4200.14664
1945.60,1122.34249
1945.52,409.61043
1945.43,296.58034
1945.35,258.77558
1945.26,388.47982
1945.18,410.83823
1945.09,781.09258
1944.59,150.98245
1944.37,866.51795
1944.16,1178.58562
1943.96,1461.29626
1943.83,948.92044
1943.70,397.80771
1943.57,234.48996
1943.44,675.88767
1943.32,1268.74264
1943.19,453.68829
1943.06,448.13062
1942.89,2093.43388
1942.70,1471.2367
1942.50,823.05578
1942.31,328.42763
1942.11,225.63139
1941.95,631.61283
1941.82,180.5938
1941.69,96.19671
1941.44,179.98528
1941.31,166.12839
1941.18,1460.61617
1941.06,914.14705
1940.96,828.73309
1940.87,632.798
1940.79,620.29358
1940.71,464.74239
1940.62,410.0166
1940.54,302.09564
1940.46,155.37426
1940.37,143.80523
1940.29,180.30403
1940.21,576.87209
1940.12,1092.77738
1940.04,468.40367
1939.96,874.19308
1939.90,205.95775
1939.84,434.02741
1939.77,370.90352
1939.71,246.61026
1939.64,213.83573
1939.58,190.41745
1939.51,214.17452
1939.44,252.37695
1939.38,364.44887
1939.31,209.96474
1939.25,121.92527
1939.18,196.65747
1939.11,307.14011
1939.05,348.15408
1938.97,1064.53146
1938.86,319.97986
1938.75,127.16509
1938.64,67.28193
1938.53,104.32706
1938.42,145.89109
1938.31,124.84123
1938.19,582.21798
1938.08,1510.92721
1937.95,2509.54128
1937.75,1013.05009
1937.55,734.69165
1937.35,1206.8221
1937.16,1614.85247
1936.94,3893.47248
1936.67,1774.5093
1936.40,481.80957
1936.13,73.13686
1935.87,271.38922
1935.62,549.71623
1935.37,670.70303
1935.12,716.03737
1934.92,387.54673
1934.77,865.56783
1934.62,627.80799
1934.46,416.08817
1934.31,329.10659
1934.15,408.0643
1933.99,262.21529
1933.77,740.65087
1933.55,865.34914
1933.34,276.96366
1933.12,964.74968
1932.92,708.60758
1932.74,1355.76875
1932.56,325.73088
1932.38,205.1789
1932.20,246.20356
1932.03,576.91669
1931.87,1067.84199
1931.73,854.99713
1931.59,138.76148
1931.45,123.66947
1931.31,271.18781
1931.18,228.55013
1931.04,258.37661
1930.85,179.49635
1930.65,92.14298
1930.45,555.70013
1930.24,555.91763
1930.04,827.78
1929.86,1673.72108
1929.68,438.38032
1929.15,444.22995
1928.98,514.40623
1928.84,359.91197
1928.69,295.87328
1928.55,121.42966
1928.26,143.20675
1928.12,449.28827
1927.97,677.67474
1927.70,752.00572
1927.44,752.01182
1927.17,474.18196
1926.88,259.687
1926.53,124.99883
1926.18,291.18036
1925.86,387.77052
1925.57,76.01831
1925.28,1521.89344
1924.99,1930.75918
1924.72,271.96478
1924.45,189.72384
1924.19,1580.16856
1923.87,333.40491
1923.42,706.61866
1922.98,511.7393
1922.69,332.33981
1922.40,828.70556
1922.11,2340.05472
1921.84,3666.25501
1921.35,300.0861
1921.11,452.26326
1920.82,981.14487
1920.15,1365.96165
1919.95,209.09677
1919.86,290.23677
1919.77,202.40025
1919.68,111.40786
1919.59,125.24517
1919.32,145.59971
1919.23,98.79353
1919.14,300.47441
1919.05,306.86864
1918.95,1749.42374
1918.83,193.50063
1918.71,120.62158
1918.58,143.36733
1918.46,122.57702
1918.34,170.87839
1918.22,671.98072
1918.10,1165.97535
1917.92,1412.02469
1917.42,2163.65448
1916.92,1080.52688
1916.42,1300.52952
1915.95,1822.33443
1915.59,726.7974
1914.91,288.97639
1914.64,326.83846
1914.36,209.34958
1914.09,160.90537
1913.88,472.59831
1913.69,261.03358
1913.50,183.01892
1913.13,193.24747
1912.94,143.60852
1912.54,227.1768
1912.34,177.69625
1912.13,611.39414
1910.94,447.88714
1910.55,188.45542
1910.15,631.41763
1909.71,336.46102
1909.25,687.97497
1908.47,200.28317
1908.11,663.94076
1907.89,1721.09916
1907.73,776.38152
1907.58,291.2176
1907.42,202.32087
1907.26,418.24459
1907.11,802.12845
1906.92,708.76493
1906.68,530.71587
1906.44,345.68444
1906.19,239.17886
1905.97,174.65963
1905.81,192.37049
1905.65,143.77645
1905.50,195.78729
1905.34,179.96998
1905.19,305.54759
1905.03,624.73963
1904.52,377.00034
1904.26,198.61472
1904.00,657.79101
1903.87,4387.6313
1903.73,419.88452
1903.60,444.31035
1903.47,577.35242
1903.34,453.90256
1903.07,340.22159
1902.93,270.38296
1902.76,207.71873
1902.58,313.45815
1902.40,387.80114
1902.23,634.3989
1902.05,1956.52415
1901.16,854.72217
1900.52,376.23836
1900.20,410.3933
1899.79,406.39379
1899.23,235.13748
1898.80,402.292
1898.45,151.23211
1898.11,391.12545
1897.77,487.53166
1897.44,219.83618
1896.76,169.54457
1896.41,101.60531
1896.05,93.9464
1895.67,173.979
1895.28,109.31395
1894.84,192.3322
1894.23,263.68705
1893.87,277.21682
1893.67,54.01254
1893.46,67.09845
1893.25,91.65371
1893.05,1195.49272
1892.81,795.13812
1892.57,544.8254
1892.33,248.71611
1892.09,432.17392
1891.57,79.93793
1890.86,143.66219
1890.10,487.32046
1889.31,492.61236
1888.90,261.08533
1888.75,220.4773
1888.58,284.66356
1888.42,252.78469
1888.25,169.21527
1888.08,172.62473
1887.76,355.90231
1887.26,119.50534
1886.85,92.86907
1886.54,84.42455
1886.22,265.84241
1885.87,252.88592
1885.43,274.14742
1884.98,3.72282
1884.49,114.59213
1883.99,128.41974
1883.51,548.73296
1883.03,569.1501
1882.38,445.65066
1881.63,135.29416
1880.85,120.07015
1880.29,255.0773
1879.89,201.69828
1879.66,72.67179
1879.43,79.77079
1878.92,67.00098
1878.18,74.83542
1877.77,101.58608
1877.46,90.64779
1877.15,279.22322
1876.58,180.60865
1875.95,351.50976
1875.79,191.5117
1875.63,282.37217
1875.47,393.66105
1875.32,146.71455
1875.16,354.13228
1874.99,460.55743
1874.41,847.48358
1873.89,341.60012
1873.53,108.27605
1873.16,156.27434
1872.90,563.16698
1872.72,360.35606
1872.54,287.93315
1872.37,304.51466
1872.19,288.18963
1872.01,324.63851
1871.67,104.75959
1871.33,89.26118
1870.99,181.1433
1870.68,268.44011
1870.37,540.43984
1870.06,232.08756
1869.60,469.92019
1869.11,184.39505
1868.80,126.3524
1868.54,109.04235
1868.28,174.63472
1868.02,1094.44208
1867.65,677.70726
1867.29,542.95432
1866.95,528.1
1866.70,448.26863
1866.45,355.94252
1866.21,163.94103
1865.95,188.022
1865.63,321.92332
1864.99,143.45886
1864.49,428.74377
1863.97,202.04865
1863.32,158.95684
1862.72,537.60227
1862.18,727.15756
1861.81,232.17096
1861.53,47.49006
1861.25,166.02672
1860.95,257.88742
1860.46,510.38328
1859.99,210.0206
1859.62,230.95393
1859.25,354.56343
1858.84,296.08238
1858.30,393.7754
1857.64,717.6997
1856.97,141.1562
1856.83,133.99977
1856.69,149.72459
1856.55,205.13274
1856.41,179.90844
1856.27,579.62314
1855.97,506.22186
1855.21,248.09597
1854.92,1191.3872
1854.73,521.89196
1854.54,503.98502
1854.35,479.72458
1854.16,354.93093
1853.95,122.17035
1853.67,104.67541
1853.39,131.01691
1853.12,522.56437
1852.84,233.96581
